absolution,"n.免罪,赦免"
absolutism,"n.专制主义,绝对论"
absolutist,"n.专制主义者,专制政治论者,绝对论者"
absolutization,n.绝对化
absolutize,"v.使...绝对化,使...变成绝对的"
absolutory,"adj.给予赦免的,给予宽恕的"
absolvable,adj.可赦免的
absolve,v.宣布免除
absolvent,adj.赦免的
absonant,"adj.不协调的,不和谐的"
absorb,"vt.吸收,吸引"
absorbability,"n.吸收,可吸收性"
absorbable,"adj.可吸收的,容易被吸收的"
absorbance,n.[植、化]吸光率
absorbant,adj.=absorbent
absorbate,n.被吸收的物质
absorbed,"adj.全神贯注的,一心一意的"
absorbedly,adv.专心致志地
absorbefacient,adj.吸收性的;n.吸收剂
absorbency,"n.吸收性,吸光度;n.吸收性,吸收能力,[物][化]吸光率(度)"
absorbent,adj.能吸收的;n.吸收剂
absorber,"n.吸收者,吸收体,减震器"
absorberman,n.管理吸收器的人
absorbing,"adj.吸引人的,非常有趣的"
absorbingly,"adv.引人入胜地,非常有趣地"
absord,n.吸收
absorptance,n.[物]吸收比
absorptiometer,"n.吸收计,吸收测定器,溶气汁,调稠器"
absorption,n.吸收
absorptive,"adj.吸收性的,有吸收力的"
absorptivity,"n.[物][化]吸收率,吸收性"
absquatulate,"vi.逃走,溜脱,开小差"
absquatulater,n.开小差者
absquatulation,n.开小差
abstain,"v.禁绝,放弃"
abstainer,"n.节制者,戒酒者,弃权者"
abstemious,"adj.有节制的,节约的"
abstemiously,"adv.有节制地,适度地"
abstention,n.节制
abstentious,adj.有节制的
absterge,"vt.去垢,擦去"
abstergent,adj.去垢的;n.洗洁剂
abstersion,n.洗涤
abstersive,"adj.使洁净的,去垢的"
abstinence,"n.节制,节欲,戒酒"
abstinency,"n.禁欲,(在饮食、享乐方面)自制"
abstinent,"adj.饮食有度的,有节制的,禁欲的;n.禁欲者"
abstract,"n.摘要,概要,抽象;adj.抽象的,深奥的,理论的;vt.摘要,提炼,抽象化"
abstracted,"adj.心不在焉的,出神的"
abstraction,n.提取
abstractionism,n.抽象派艺术
abstractionist,n.抽象派艺术家
abstractive,"adj.具有抽象能力的,摘要式的"
abstractively,"adv.抽象地,抽象性地"
abstractly,"adv.抽象地,理论上地"
